               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.2804,              3.9803,              4.0696,                   0,                   0,                   0,                   0,              3.3987,              3.7979,              3.9546,            0.070441,           0.0032843,           0.0032843
                   1,              3.3354,              3.0248,              3.5322,               0.112,              0.1812,             0.08392,            0.025192,              2.5428,              2.9849,              3.3595,            0.040356,           0.0065326,           0.0065326
                   2,               2.208,               2.193,              2.4188,              0.3004,             0.53853,             0.28232,             0.12386,              1.8159,              2.8457,              2.6368,            0.010185,           0.0096951,           0.0096951
                   3,              1.7371,              1.6993,              1.8604,             0.63277,             0.47496,             0.56627,             0.28945,              1.6414,              2.6127,              2.3928,           0.0096143,           0.0096143,           0.0096143
                   4,              1.5147,              1.4284,               1.625,             0.66522,             0.64609,              0.7081,             0.40722,              1.5291,              2.3638,              2.3094,           0.0096143,           0.0096143,           0.0096143
                   5,               1.401,              1.2918,              1.5248,             0.79186,              0.7581,             0.84011,             0.58849,              1.0598,              1.1304,              1.7121,           0.0094857,           0.0094857,           0.0094857
                   6,              1.3285,               1.202,              1.4772,             0.73544,             0.75877,             0.81696,             0.57956,              1.0203,              1.1092,              1.6465,           0.0093571,           0.0093571,           0.0093571
                   7,              1.2651,              1.1166,              1.4323,             0.76387,             0.81425,             0.88089,             0.63697,             0.96637,              0.9145,              1.5642,           0.0092286,           0.0092286,           0.0092286
                   8,              1.2314,              1.0591,              1.3916,             0.83181,             0.80261,             0.90056,             0.66382,             0.96529,             0.88713,              1.5583,              0.0091,              0.0091,              0.0091
                   9,               1.191,              1.0185,              1.3672,             0.81214,             0.86817,             0.91343,             0.69752,             0.87594,             0.75704,              1.4573,           0.0089714,           0.0089714,           0.0089714
                  10,              1.1567,              0.9757,              1.3454,             0.78427,             0.78255,             0.88109,             0.63919,             0.93637,              1.1006,              1.5664,           0.0088429,           0.0088429,           0.0088429
                  11,              1.1323,             0.95738,              1.3284,             0.87279,              0.8563,               0.933,             0.72512,             0.84418,             0.70924,              1.4229,           0.0087143,           0.0087143,           0.0087143
                  12,              1.1133,             0.92411,              1.3139,             0.85053,              0.8234,             0.92419,             0.72065,             0.82303,             0.74332,              1.3799,           0.0085857,           0.0085857,           0.0085857
                  13,              1.0924,             0.90237,              1.3052,             0.87121,             0.87798,             0.93606,             0.72591,             0.84282,             0.66748,              1.3872,           0.0084571,           0.0084571,           0.0084571
                  14,              1.0746,             0.87493,              1.2854,             0.83579,             0.88244,             0.93255,             0.73498,             0.80344,             0.68758,              1.3791,           0.0083286,           0.0083286,           0.0083286
                  15,              1.0643,             0.85358,              1.2761,             0.89913,             0.87412,             0.95164,             0.75827,             0.78169,             0.62834,              1.3426,              0.0082,              0.0082,              0.0082
                  16,              1.0493,             0.83583,              1.2615,             0.84076,             0.85531,             0.91857,             0.69426,             0.90533,              0.8967,              1.4568,           0.0080714,           0.0080714,           0.0080714
                  17,              1.0397,             0.82654,              1.2624,             0.88391,             0.88862,             0.95074,             0.75255,             0.79522,             0.60807,              1.3406,           0.0079429,           0.0079429,           0.0079429
                  18,               1.025,              0.8123,              1.2463,             0.86088,             0.89432,             0.94535,             0.75834,             0.77253,             0.67399,              1.3396,           0.0078143,           0.0078143,           0.0078143
                  19,              1.0141,             0.79322,              1.2389,             0.88399,             0.90142,              0.9549,              0.7719,              0.7514,             0.56426,              1.3127,           0.0076857,           0.0076857,           0.0076857
                  20,              1.0079,               0.789,              1.2444,             0.87229,             0.88511,             0.94251,             0.76089,             0.72624,             0.59141,              1.2862,           0.0075571,           0.0075571,           0.0075571
                  21,              1.0002,             0.77926,              1.2358,             0.87334,             0.90894,             0.94941,             0.77357,             0.73894,             0.55249,              1.2845,           0.0074286,           0.0074286,           0.0074286
                  22,               1.002,             0.76798,               1.221,             0.89506,             0.84747,             0.92137,             0.74753,             0.75103,             0.63055,              1.3088,              0.0073,              0.0073,              0.0073
                  23,             0.98224,             0.75434,              1.2259,             0.88329,              0.8906,             0.94298,             0.76447,             0.73858,             0.60242,              1.2945,           0.0071714,           0.0071714,           0.0071714
                  24,             0.97139,             0.73663,               1.217,             0.92436,             0.89766,             0.96196,             0.79402,             0.72544,             0.50194,              1.2912,           0.0070429,           0.0070429,           0.0070429
                  25,             0.96374,             0.73347,              1.2083,             0.89413,             0.89306,             0.95576,             0.76701,             0.75784,             0.61311,              1.3052,           0.0069143,           0.0069143,           0.0069143
                  26,             0.95493,               0.732,              1.2072,             0.92876,             0.90641,             0.96303,             0.79223,             0.73276,             0.49903,              1.2832,           0.0067857,           0.0067857,           0.0067857
                  27,             0.95586,             0.72187,              1.2087,             0.85575,             0.86805,             0.94469,              0.7746,             0.70785,             0.57753,              1.2705,           0.0066571,           0.0066571,           0.0066571
                  28,             0.95116,             0.71594,              1.2112,             0.91899,             0.89874,             0.96077,             0.78095,             0.70798,             0.56073,              1.2569,           0.0065286,           0.0065286,           0.0065286
                  29,             0.95749,             0.71781,              1.2071,             0.92493,             0.91735,              0.9611,             0.79784,             0.69628,             0.47487,              1.2633,              0.0064,              0.0064,              0.0064
