Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size						epoch	train mAP	test mAP
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.73s/it]				
	all	1086	2161	0.813	0.813	0.871	0.673							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
10_()	14.1G	0.9984	0.7471	1.124	106	320:00:00	100% 63/63	[01:	"35<00:00,  1.51s/it]"			10_()	0.955	0.931
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.09s/it]				
	all	5292	10764	0.918	0.899	0.955	0.751							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:14<00:00,"	2.02s/it]				
	all	1086	2161	0.891	0.872	0.931	0.751							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
11_()	14.1G	0.9853	0.7366	1.121	94	320:00:00	100% 63/63	[01:	"39<00:00,  1.57s/it]"			11_()	0.942	0.927
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.07s/it]				
	all	5292	10764	0.905	0.876	0.942	0.734							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.87s/it]				
	all	1086	2161	0.92	0.849	0.927	0.738							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
12_()	14.1G	0.9794	0.7181	1.118	128	320:00:00	100% 63/63	[01:	"43<00:00,  1.64s/it]"			12_()	0.934	0.924
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.01s/it]				
	all	5292	10764	0.909	0.84	0.934	0.72							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.94s/it]				
	all	1086	2161	0.908	0.815	0.924	0.721							
														
