               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0498,              2.0694,              1.2976,             0.62564,             0.75047,             0.71331,             0.51427,             0.70008,              1.0283,              1.0955,            0.070508,           0.0032768,           0.0032768
                   1,             0.86601,              1.1995,              1.1475,              0.6841,             0.73969,             0.81113,             0.60039,             0.73958,              1.3472,              1.1162,            0.040462,           0.0065634,           0.0065634
                   2,             0.88451,               1.076,              1.1658,             0.75628,             0.74538,             0.78675,             0.56919,             0.84474,              1.1858,              1.1406,            0.010368,           0.0098029,           0.0098029
                   3,             0.97738,              1.1094,              1.2076,              0.6956,             0.72777,             0.73078,             0.52727,             0.82668,              1.4786,              1.1288,           0.0097879,           0.0097879,           0.0097879
                   4,              1.0027,              1.1058,              1.2275,             0.75248,             0.70568,             0.76349,             0.55642,             0.79044,              1.1892,              1.1779,           0.0097879,           0.0097879,           0.0097879
                   5,             0.98648,              1.0603,              1.2392,             0.81727,             0.72579,             0.81404,             0.60017,             0.80601,              1.3457,               1.167,           0.0097171,           0.0097171,           0.0097171
                   6,             0.96427,              1.0536,              1.2284,              0.8279,             0.66712,             0.78614,             0.53843,             0.94838,              1.5561,              1.2914,           0.0096464,           0.0096464,           0.0096464
                   7,             0.97326,              1.0353,              1.2387,             0.66635,             0.68567,             0.73154,             0.49544,             0.94723,              1.3719,              1.3206,           0.0095757,           0.0095757,           0.0095757
                   8,              0.9491,              1.0249,              1.2285,             0.75059,             0.78111,             0.83768,             0.63617,             0.78587,             0.93971,              1.1227,            0.009505,            0.009505,            0.009505
                   9,             0.94832,             0.98599,               1.221,             0.75768,             0.81531,             0.82805,             0.62042,             0.80296,             0.82378,              1.1743,           0.0094343,           0.0094343,           0.0094343
