               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.3163,              4.1201,              4.0843,                   0,                   0,                   0,                   0,              3.4688,              3.8465,              3.9753,            0.070441,           0.0032843,           0.0032843
                   1,              3.3546,              3.0079,              3.4274,             0.32257,             0.27265,              0.2178,             0.10221,              2.3151,               2.659,              3.2243,            0.040356,           0.0065326,           0.0065326
                   2,              2.1613,              2.1229,              2.3365,             0.39355,             0.59553,             0.43417,              0.2092,              1.6263,              5.3683,              2.3588,            0.010185,           0.0096951,           0.0096951
                   3,              1.6884,              1.6685,              1.7821,             0.55617,             0.58096,             0.60323,             0.34596,              1.3994,              2.0107,              2.0443,           0.0096143,           0.0096143,           0.0096143
                   4,              1.4828,               1.413,              1.5677,             0.66064,             0.60895,             0.66389,             0.41874,              1.2542,              1.9046,              1.7534,           0.0096143,           0.0096143,           0.0096143
                   5,              1.3718,              1.2777,              1.4751,             0.71619,             0.71929,             0.76385,             0.45985,              1.2926,              1.4077,              1.7841,           0.0094857,           0.0094857,           0.0094857
                   6,              1.3096,              1.1927,               1.437,             0.76747,             0.73937,               0.818,             0.54664,              1.1109,              1.5805,              1.6104,           0.0093571,           0.0093571,           0.0093571
                   7,              1.2404,              1.1135,              1.3912,             0.63108,             0.77096,             0.72957,              0.5094,              1.0348,              1.3129,              1.5257,           0.0092286,           0.0092286,           0.0092286
                   8,              1.2162,              1.0486,              1.3579,             0.82957,              0.8364,             0.90743,             0.67316,             0.94939,             0.90782,              1.4633,              0.0091,              0.0091,              0.0091
                   9,              1.1795,              1.0142,              1.3387,             0.83235,             0.83486,             0.90123,             0.68086,              0.8944,             0.80374,              1.4132,           0.0089714,           0.0089714,           0.0089714
                  10,              1.1473,             0.96814,              1.3208,             0.73692,             0.70434,             0.78857,             0.58603,             0.92785,              1.2797,              1.4505,           0.0088429,           0.0088429,           0.0088429
                  11,              1.1209,             0.93827,              1.3024,             0.84511,             0.87108,             0.92225,             0.70431,             0.86321,             0.73818,              1.3524,           0.0087143,           0.0087143,           0.0087143
                  12,               1.102,             0.91014,              1.2879,             0.84944,              0.8311,              0.8774,             0.68651,             0.85066,             0.83549,              1.3487,           0.0085857,           0.0085857,           0.0085857
                  13,              1.0894,             0.89661,              1.2874,             0.82732,             0.86836,             0.93006,             0.74166,             0.78135,             0.72407,              1.2976,           0.0084571,           0.0084571,           0.0084571
                  14,              1.0726,             0.87127,              1.2659,             0.75869,             0.81198,             0.85914,             0.68061,             0.80717,             0.95292,              1.3108,           0.0083286,           0.0083286,           0.0083286
                  15,              1.0537,             0.84397,              1.2517,             0.88127,             0.87425,             0.93894,             0.75898,             0.75737,             0.65378,              1.2825,              0.0082,              0.0082,              0.0082
                  16,              1.0402,             0.82692,              1.2407,             0.84846,             0.85187,             0.91739,             0.71664,             0.81535,             0.78392,              1.3118,           0.0080714,           0.0080714,           0.0080714
                  17,              1.0358,             0.82336,              1.2457,             0.81921,             0.82856,             0.90748,             0.71662,             0.82179,             0.83316,              1.3458,           0.0079429,           0.0079429,           0.0079429
                  18,              1.0188,               0.803,              1.2302,             0.87777,             0.90783,             0.95635,             0.77405,             0.75973,             0.59313,              1.2712,           0.0078143,           0.0078143,           0.0078143
                  19,              1.0115,             0.78651,              1.2233,             0.91912,             0.91673,             0.96194,             0.77625,             0.75854,             0.56686,              1.2571,           0.0076857,           0.0076857,           0.0076857
                  20,               1.003,             0.78165,              1.2253,             0.85248,             0.90191,             0.94893,             0.76478,             0.73654,             0.63975,               1.258,           0.0075571,           0.0075571,           0.0075571
                  21,             0.99607,              0.7713,              1.2229,             0.90383,             0.87916,              0.9441,             0.77476,             0.73033,             0.56214,               1.246,           0.0074286,           0.0074286,           0.0074286
                  22,              0.9986,             0.76517,              1.2093,             0.88996,             0.89402,             0.94988,             0.77427,             0.72598,             0.57885,              1.2458,              0.0073,              0.0073,              0.0073
                  23,             0.98034,             0.74909,              1.2126,              0.8792,             0.90975,             0.94871,             0.78232,             0.71317,             0.56027,              1.2398,           0.0071714,           0.0071714,           0.0071714
                  24,             0.97139,             0.73156,              1.2035,             0.86862,              0.8915,             0.95398,             0.77784,             0.73333,             0.58183,              1.2483,           0.0070429,           0.0070429,           0.0070429
                  25,             0.95795,             0.72536,              1.1935,             0.85967,             0.90377,              0.9448,             0.76216,             0.75722,             0.59531,              1.2578,           0.0069143,           0.0069143,           0.0069143
                  26,             0.95555,             0.72372,              1.1947,             0.91883,             0.89366,             0.95697,             0.78895,             0.70382,             0.53729,              1.2233,           0.0067857,           0.0067857,           0.0067857
                  27,             0.95284,             0.71284,              1.1949,              0.8984,             0.88422,             0.95815,             0.78217,             0.73009,             0.54092,              1.2562,           0.0066571,           0.0066571,           0.0066571
                  28,             0.94045,             0.71099,              1.1916,             0.90557,             0.88694,             0.95488,              0.7819,             0.71925,             0.55972,              1.2285,           0.0065286,           0.0065286,           0.0065286
                  29,             0.95228,             0.70887,              1.1925,              0.9074,             0.92388,             0.95912,             0.79235,             0.70101,             0.49411,              1.2257,              0.0064,              0.0064,              0.0064
                  30,             0.93266,             0.68132,              1.1765,             0.91681,             0.90008,             0.95769,             0.78895,             0.72074,             0.50992,              1.2472,           0.0062714,           0.0062714,           0.0062714
                  31,             0.93144,             0.67442,              1.1731,             0.91061,             0.91119,             0.96123,              0.8075,             0.67762,             0.48226,              1.1994,           0.0061429,           0.0061429,           0.0061429
                  32,             0.91912,             0.67634,               1.182,             0.92551,             0.91511,             0.96493,             0.79569,             0.71743,             0.47763,              1.2485,           0.0060143,           0.0060143,           0.0060143
                  33,             0.92185,             0.66874,              1.1739,             0.90765,             0.91875,             0.95764,             0.79058,             0.71688,             0.49515,              1.2412,           0.0058857,           0.0058857,           0.0058857
                  34,             0.91794,             0.66954,              1.1672,             0.88765,             0.90316,             0.95661,             0.79485,             0.69541,             0.51421,              1.2041,           0.0057571,           0.0057571,           0.0057571
                  35,             0.90642,             0.65269,               1.163,              0.9247,             0.89726,             0.94816,             0.79218,             0.67896,             0.62945,              1.1976,           0.0056286,           0.0056286,           0.0056286
                  36,             0.90461,             0.64885,              1.1646,             0.91414,             0.92727,             0.96415,             0.79569,             0.71145,             0.48506,                1.22,              0.0055,              0.0055,              0.0055
                  37,             0.90201,             0.64366,              1.1605,             0.91508,             0.91908,             0.96836,             0.79774,             0.70355,              0.4725,              1.2085,           0.0053714,           0.0053714,           0.0053714
                  38,             0.89394,             0.63815,               1.156,             0.90551,             0.93213,             0.96902,             0.80946,             0.67237,             0.45499,              1.1902,           0.0052429,           0.0052429,           0.0052429
                  39,             0.89781,             0.63837,              1.1572,             0.91844,             0.91585,             0.96504,             0.81306,              0.6798,             0.46838,              1.1979,           0.0051143,           0.0051143,           0.0051143
                  40,             0.88929,             0.62882,               1.148,             0.90828,             0.91078,             0.96109,             0.79291,             0.71797,             0.54995,               1.215,           0.0049857,           0.0049857,           0.0049857
                  41,             0.89031,             0.62627,              1.1492,             0.92416,             0.92784,             0.96199,             0.79067,             0.70404,             0.48591,              1.2192,           0.0048571,           0.0048571,           0.0048571
                  42,             0.87741,             0.62639,              1.1502,             0.91831,             0.91207,             0.96309,             0.80094,             0.68367,             0.46456,              1.2098,           0.0047286,           0.0047286,           0.0047286
                  43,             0.86663,             0.60546,              1.1439,             0.92411,             0.92289,             0.97009,             0.81615,             0.67212,             0.44996,               1.204,              0.0046,              0.0046,              0.0046
                  44,             0.87384,             0.61196,              1.1468,             0.91588,             0.93342,             0.96985,             0.81105,             0.68311,             0.44207,              1.2098,           0.0044714,           0.0044714,           0.0044714
                  45,             0.86581,             0.59786,              1.1392,             0.92532,             0.91269,              0.9612,             0.79369,              0.7011,             0.45505,              1.2155,           0.0043429,           0.0043429,           0.0043429
                  46,             0.86111,             0.60258,              1.1347,             0.92988,             0.93652,              0.9689,              0.8027,             0.69839,             0.45601,              1.2197,           0.0042143,           0.0042143,           0.0042143
                  47,              0.8538,             0.59259,              1.1299,             0.91644,              0.9396,             0.97362,             0.81894,              0.6761,             0.42872,              1.1959,           0.0040857,           0.0040857,           0.0040857
                  48,             0.85598,             0.59087,              1.1323,             0.92801,             0.92302,             0.97371,             0.82254,             0.66117,             0.42911,               1.188,           0.0039571,           0.0039571,           0.0039571
                  49,             0.83813,             0.57408,              1.1223,             0.94657,             0.91361,             0.96668,             0.81905,             0.66197,              0.5416,              1.1737,           0.0038286,           0.0038286,           0.0038286
                  50,             0.84352,             0.57748,              1.1244,             0.94569,             0.92527,             0.97706,             0.82076,             0.66888,             0.42085,              1.1895,              0.0037,              0.0037,              0.0037
                  51,             0.84263,             0.57739,              1.1321,             0.95009,             0.92498,             0.97226,             0.81644,             0.66714,             0.45516,              1.1924,           0.0035714,           0.0035714,           0.0035714
                  52,             0.83492,             0.56879,              1.1221,             0.93081,             0.92077,             0.97291,             0.82145,             0.66386,             0.43207,              1.1932,           0.0034429,           0.0034429,           0.0034429
                  53,             0.82702,             0.55796,              1.1181,             0.93817,             0.92778,             0.97511,             0.81901,             0.65522,             0.42331,              1.1868,           0.0033143,           0.0033143,           0.0033143
                  54,             0.82664,              0.5564,              1.1163,             0.93018,             0.92595,             0.97264,             0.80912,             0.67918,             0.42301,               1.204,           0.0031857,           0.0031857,           0.0031857
                  55,             0.82657,             0.55682,              1.1175,             0.92211,             0.93327,             0.96509,             0.80028,               0.683,             0.44772,               1.206,           0.0030571,           0.0030571,           0.0030571
                  56,             0.82967,             0.55803,              1.1248,             0.93026,              0.9423,             0.97425,             0.82388,             0.65574,               0.407,              1.1808,           0.0029286,           0.0029286,           0.0029286
                  57,              0.8248,             0.55116,              1.1166,             0.94044,             0.91795,             0.96709,             0.81354,             0.66992,             0.43516,              1.1934,              0.0028,              0.0028,              0.0028
                  58,              0.8263,             0.54427,              1.1142,              0.9278,             0.94543,             0.97427,             0.82679,             0.66199,             0.40166,              1.1903,           0.0026714,           0.0026714,           0.0026714
                  59,             0.81414,             0.54289,              1.1132,             0.92979,             0.93653,             0.97328,             0.82501,              0.6618,             0.41244,              1.1882,           0.0025429,           0.0025429,           0.0025429
                  60,             0.80757,             0.53337,              1.1033,             0.93162,             0.93722,             0.96978,             0.81892,             0.65337,             0.41169,              1.1868,           0.0024143,           0.0024143,           0.0024143
                  61,             0.81657,              0.5366,              1.1033,             0.91525,             0.94301,              0.9703,             0.82043,              0.6591,              0.4306,              1.1925,           0.0022857,           0.0022857,           0.0022857
                  62,             0.80194,             0.51896,               1.096,             0.94953,             0.92867,               0.976,             0.82834,             0.65717,             0.39971,              1.1798,           0.0021571,           0.0021571,           0.0021571
                  63,             0.80487,             0.52676,              1.1038,             0.92915,              0.9391,              0.9707,              0.8219,             0.65875,             0.40932,              1.1794,           0.0020286,           0.0020286,           0.0020286
                  64,             0.79729,             0.52526,              1.1032,             0.93314,              0.9341,             0.97053,             0.82092,             0.66051,             0.41728,               1.187,              0.0019,              0.0019,              0.0019
                  65,             0.79084,             0.51356,              1.0978,             0.93364,             0.94222,             0.97586,              0.8305,              0.6592,             0.39687,              1.1793,           0.0017714,           0.0017714,           0.0017714
                  66,             0.79172,             0.51868,              1.1021,             0.93784,             0.94475,             0.97512,             0.82437,             0.65745,             0.39178,              1.1772,           0.0016429,           0.0016429,           0.0016429
                  67,             0.78318,             0.50808,               1.093,             0.94391,              0.9322,             0.97263,             0.82519,             0.66493,              0.3965,              1.1857,           0.0015143,           0.0015143,           0.0015143
                  68,             0.78063,             0.50945,              1.0988,             0.94643,             0.93217,             0.97616,             0.82707,             0.65476,             0.39403,              1.1793,           0.0013857,           0.0013857,           0.0013857
                  69,             0.77882,              0.5036,              1.0897,             0.92295,             0.94134,             0.97278,              0.8298,             0.64022,             0.39465,              1.1675,           0.0012571,           0.0012571,           0.0012571
                  70,             0.77946,             0.50085,              1.0894,             0.94636,             0.93047,             0.97441,             0.82951,             0.64912,             0.38814,              1.1777,           0.0011286,           0.0011286,           0.0011286
                  71,             0.76994,              0.4937,              1.0882,             0.94224,             0.92952,             0.97152,             0.82832,             0.64673,             0.39825,               1.175,               0.001,               0.001,               0.001
                  72,             0.77389,             0.49458,              1.0829,             0.93816,             0.93942,             0.97701,             0.83316,             0.65201,             0.38318,              1.1832,          0.00087143,          0.00087143,          0.00087143
                  73,             0.76639,             0.48363,              1.0809,             0.94025,             0.93915,             0.97523,             0.83249,             0.64766,             0.38877,              1.1745,          0.00074286,          0.00074286,          0.00074286
                  74,             0.76836,             0.48648,              1.0847,             0.94964,              0.9412,             0.97881,             0.83864,             0.64247,             0.38059,              1.1692,          0.00061429,          0.00061429,          0.00061429
                  75,              0.7595,             0.47866,              1.0821,             0.94888,             0.93317,              0.9779,             0.83616,             0.63794,             0.38205,              1.1665,          0.00048571,          0.00048571,          0.00048571
                  76,             0.76024,             0.47381,              1.0748,             0.94188,             0.94084,             0.97736,             0.83677,             0.63773,             0.38158,               1.164,          0.00035714,          0.00035714,          0.00035714
