               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0285,              1.9792,              1.2593,             0.52465,             0.81961,             0.69997,             0.53474,             0.66082,              1.0159,              1.0021,            0.070455,           0.0032828,           0.0032828
                   1,             0.86479,              1.1588,              1.1381,             0.62994,             0.70204,             0.74223,             0.56866,             0.70735,              1.0739,              1.0747,            0.040408,           0.0065694,           0.0065694
                   2,             0.89426,              1.1258,              1.1675,             0.78531,              0.7145,             0.81397,             0.57096,             0.87702,              1.1617,              1.1601,            0.010314,           0.0098088,           0.0098088
                   3,             0.94964,               1.122,              1.1908,             0.62824,             0.76795,             0.73389,             0.52158,             0.85918,              1.2712,              1.1603,           0.0097879,           0.0097879,           0.0097879
                   4,              1.0024,              1.0423,              1.2102,             0.66258,             0.65321,             0.69463,             0.49543,             0.97188,              1.4798,              1.2231,           0.0097879,           0.0097879,           0.0097879
                   5,             0.97044,              1.0417,               1.211,             0.78818,             0.69535,             0.78461,              0.5686,             0.89479,             0.98731,               1.239,           0.0097171,           0.0097171,           0.0097171
                   6,             0.94168,              1.0092,              1.1993,             0.69785,             0.76882,             0.76004,             0.54791,             0.83164,              1.2829,              1.2432,           0.0096464,           0.0096464,           0.0096464
                   7,             0.95811,              1.0113,              1.2167,              0.6785,             0.73404,             0.72716,             0.52789,             0.87146,                 1.1,              1.1827,           0.0095757,           0.0095757,           0.0095757
                   8,              0.9336,             0.98163,              1.2004,             0.67385,             0.73172,             0.77126,             0.58842,             0.78966,              1.0161,              1.1149,            0.009505,            0.009505,            0.009505
                   9,             0.90186,             0.94946,              1.1878,             0.77173,             0.72512,             0.78604,             0.57675,             0.82898,              1.3246,              1.1801,           0.0094343,           0.0094343,           0.0094343
                  10,             0.92959,             0.92567,              1.1818,             0.79348,             0.72483,             0.80626,             0.61592,             0.77535,              1.0923,              1.1078,           0.0093636,           0.0093636,           0.0093636
                  11,             0.89546,             0.90181,              1.1795,             0.80536,              0.7927,             0.85102,             0.65755,             0.75096,             0.88659,              1.0977,           0.0092929,           0.0092929,           0.0092929
                  12,             0.90556,             0.91427,              1.1805,             0.75022,             0.79451,             0.84787,             0.64492,             0.73778,             0.88677,              1.1165,           0.0092221,           0.0092221,           0.0092221
                  13,             0.91865,             0.93276,              1.1962,             0.78425,             0.80233,             0.84701,             0.67021,             0.69428,             0.80973,              1.0479,           0.0091514,           0.0091514,           0.0091514
                  14,             0.88711,             0.86667,              1.1788,             0.81816,             0.78747,             0.86402,              0.6609,             0.79132,             0.75854,              1.1623,           0.0090807,           0.0090807,           0.0090807
                  15,             0.86778,             0.85225,              1.1566,             0.77108,             0.81361,             0.85513,             0.66542,             0.73243,             0.79434,              1.0557,             0.00901,             0.00901,             0.00901
                  16,             0.87636,             0.84147,              1.1678,             0.85258,             0.79287,             0.88039,             0.68043,             0.74173,             0.75619,              1.0601,           0.0089393,           0.0089393,           0.0089393
                  17,             0.87079,             0.85383,                1.16,             0.77385,             0.77833,               0.853,             0.64196,             0.77776,             0.86846,              1.0977,           0.0088686,           0.0088686,           0.0088686
                  18,              0.8394,             0.79922,              1.1331,                0.82,              0.8288,             0.87962,             0.69438,             0.73294,             0.67715,              1.0882,           0.0087979,           0.0087979,           0.0087979
                  19,             0.85162,             0.82933,               1.169,             0.80704,             0.83526,             0.87635,             0.69514,             0.69856,             0.76709,              1.0574,           0.0087271,           0.0087271,           0.0087271
                  20,             0.84794,             0.79661,               1.139,              0.7987,             0.79922,               0.881,             0.69383,             0.70538,             0.72931,               1.069,           0.0086564,           0.0086564,           0.0086564
                  21,             0.82811,             0.78861,              1.1389,             0.82085,             0.80789,             0.87558,             0.69073,              0.7047,             0.68242,              1.0377,           0.0085857,           0.0085857,           0.0085857
                  22,             0.82316,             0.77011,              1.1307,              0.8492,             0.78131,             0.88537,             0.69496,             0.75955,             0.80052,              1.0899,            0.008515,            0.008515,            0.008515
                  23,             0.82544,             0.78503,               1.138,               0.848,             0.86929,             0.89758,              0.6969,             0.75538,             0.66004,              1.1056,           0.0084443,           0.0084443,           0.0084443
                  24,             0.81575,             0.75367,              1.1283,             0.80815,             0.82504,             0.88122,             0.70047,             0.73573,             0.73116,              1.0862,           0.0083736,           0.0083736,           0.0083736
                  25,             0.79519,             0.75003,              1.1309,              0.7999,             0.79487,              0.8406,             0.66794,             0.70442,             0.80789,              1.0786,           0.0083029,           0.0083029,           0.0083029
                  26,             0.79205,             0.74387,              1.1171,             0.81456,             0.77046,             0.84112,             0.66678,             0.68235,             0.76691,              1.0771,           0.0082321,           0.0082321,           0.0082321
                  27,             0.80916,             0.75384,              1.1339,             0.84883,             0.81057,             0.89292,             0.72163,             0.69523,             0.66499,              1.0734,           0.0081614,           0.0081614,           0.0081614
                  28,             0.78895,              0.7188,              1.1116,             0.79879,             0.79548,             0.84138,              0.6667,             0.67815,             0.78349,              1.0449,           0.0080907,           0.0080907,           0.0080907
                  29,             0.79271,             0.74063,              1.1132,             0.83295,               0.822,             0.88728,             0.72306,              0.7111,             0.66896,              1.0872,             0.00802,             0.00802,             0.00802
                  30,             0.77345,             0.74227,              1.1188,             0.79929,             0.84888,             0.89194,             0.72385,             0.69141,             0.69504,              1.0856,           0.0079493,           0.0079493,           0.0079493
                  31,             0.78479,             0.70231,              1.1082,             0.78235,             0.87273,             0.89923,             0.72633,             0.69365,             0.66027,              1.0594,           0.0078786,           0.0078786,           0.0078786
                  32,             0.76316,             0.69699,              1.1017,             0.87738,             0.82675,             0.89648,             0.72525,             0.69243,             0.65044,              1.0441,           0.0078079,           0.0078079,           0.0078079
                  33,             0.76712,             0.70977,              1.1007,              0.7954,             0.85113,             0.89878,             0.71907,             0.71393,             0.65564,              1.0633,           0.0077371,           0.0077371,           0.0077371
                  34,             0.77503,             0.69405,              1.1063,             0.87213,             0.84362,             0.92293,             0.74119,             0.64453,             0.62748,              1.0356,           0.0076664,           0.0076664,           0.0076664
                  35,             0.74755,             0.66807,              1.0816,             0.83612,             0.84644,             0.90526,             0.74589,             0.66076,             0.65188,              1.0517,           0.0075957,           0.0075957,           0.0075957
                  36,              0.7615,             0.67909,              1.1052,             0.85196,             0.83571,             0.90296,             0.72898,             0.70183,             0.65379,              1.1137,            0.007525,            0.007525,            0.007525
                  37,             0.74976,             0.66872,              1.0998,             0.84348,              0.8235,              0.8886,             0.72344,              0.6519,             0.68992,              1.0497,           0.0074543,           0.0074543,           0.0074543
                  38,             0.76913,             0.67583,              1.0939,             0.85861,             0.86623,             0.90049,             0.73436,             0.66039,             0.60775,              1.0484,           0.0073836,           0.0073836,           0.0073836
                  39,             0.74822,             0.66093,              1.0915,             0.81372,             0.87885,             0.89901,             0.73276,             0.67435,             0.58913,              1.0595,           0.0073129,           0.0073129,           0.0073129
                  40,             0.75086,             0.68629,              1.0923,             0.87004,             0.80875,              0.9059,             0.73382,             0.69728,             0.64929,              1.0274,           0.0072421,           0.0072421,           0.0072421
                  41,             0.74145,             0.65086,               1.081,             0.82338,              0.8819,             0.90298,             0.73751,             0.68782,             0.61985,              1.0293,           0.0071714,           0.0071714,           0.0071714
                  42,               0.737,             0.64429,              1.0699,             0.82877,             0.81545,             0.89371,             0.72961,             0.62674,             0.65164,              1.0089,           0.0071007,           0.0071007,           0.0071007
                  43,             0.74301,             0.64486,              1.0882,             0.81838,             0.85345,             0.89014,             0.72285,             0.65831,             0.62619,              1.0545,             0.00703,             0.00703,             0.00703
                  44,             0.72308,             0.62288,              1.0852,             0.84496,             0.87266,             0.90618,             0.73971,             0.65832,             0.60911,              1.0703,           0.0069593,           0.0069593,           0.0069593
                  45,             0.71275,             0.61006,              1.0693,             0.85012,             0.82383,             0.89357,             0.72514,             0.68889,             0.62215,              1.0525,           0.0068886,           0.0068886,           0.0068886
