               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1525,              1.6431,              1.2219,             0.73801,             0.84481,             0.87386,             0.68573,             0.72773,             0.74433,              1.0107,             0.07033,           0.0032967,           0.0032967
                   1,             0.97837,             0.91558,              1.0959,              0.8374,             0.82435,              0.8896,              0.7011,             0.74302,             0.95917,              1.0495,            0.040237,           0.0065376,           0.0065376
                   2,              1.0652,             0.94639,               1.139,             0.80459,             0.74686,             0.82524,             0.59008,             0.94518,              1.4473,              1.2588,            0.010052,           0.0096855,           0.0096855
                   3,              1.1408,              1.0108,              1.1896,              0.5599,              0.5721,              0.5908,             0.32915,               1.405,              3.7948,              1.6275,           0.0095817,           0.0095817,           0.0095817
                   4,              1.1103,             0.97646,              1.1774,             0.80352,             0.73959,             0.82909,             0.61514,             0.89436,               1.421,              1.1321,           0.0095817,           0.0095817,           0.0095817
                   5,              1.0895,             0.93802,              1.1742,             0.91507,             0.74515,             0.90135,             0.69678,             0.79731,              1.1934,              1.0892,           0.0094423,           0.0094423,           0.0094423
                   6,              1.0506,              0.8857,              1.1566,             0.82438,             0.83369,             0.91196,             0.72112,             0.73067,             0.73613,               1.055,           0.0093028,           0.0093028,           0.0093028
                   7,              1.0354,             0.86141,              1.1518,             0.87298,             0.87143,             0.93672,              0.7414,             0.75105,             0.55938,              1.0607,           0.0091634,           0.0091634,           0.0091634
                   8,              1.0213,             0.84505,              1.1359,             0.87697,             0.89192,             0.94309,             0.76112,              0.7083,             0.60297,              1.0214,           0.0090239,           0.0090239,           0.0090239
                   9,              1.0056,             0.82377,              1.1232,             0.84591,             0.86308,             0.92109,             0.74244,             0.72301,             0.58834,              1.0315,           0.0088845,           0.0088845,           0.0088845
                  10,              0.9987,             0.81244,              1.1314,             0.87193,             0.87481,              0.9352,             0.75204,             0.69879,             0.57741,              1.0186,           0.0087451,           0.0087451,           0.0087451
                  11,             0.98626,             0.78898,              1.1188,             0.90331,             0.88749,             0.95543,             0.75753,             0.73051,             0.51557,              1.0322,           0.0086056,           0.0086056,           0.0086056
                  12,             0.96753,             0.77583,              1.1151,             0.87943,             0.87821,             0.93707,             0.75448,             0.70598,              0.6042,              1.0221,           0.0084662,           0.0084662,           0.0084662
                  13,             0.95432,             0.75973,               1.106,             0.93166,             0.90398,             0.96429,             0.78746,             0.66452,             0.47811,              1.0225,           0.0083268,           0.0083268,           0.0083268
                  14,             0.95471,             0.75039,              1.1034,             0.91971,             0.89584,             0.95417,             0.77273,             0.69266,             0.53252,              1.0071,           0.0081873,           0.0081873,           0.0081873
                  15,             0.94744,             0.74132,              1.0979,             0.89653,             0.90762,             0.95855,             0.79152,             0.64328,             0.47351,              1.0005,           0.0080479,           0.0080479,           0.0080479
                  16,             0.94287,              0.7322,              1.1047,             0.91032,             0.91222,             0.96141,             0.79621,             0.65185,             0.44987,              1.0002,           0.0079085,           0.0079085,           0.0079085
                  17,             0.93094,              0.7125,              1.0953,             0.92552,             0.90797,             0.96464,             0.80071,             0.64926,             0.42336,             0.99706,            0.007769,            0.007769,            0.007769
                  18,             0.91855,             0.70514,              1.0905,             0.90161,             0.88516,             0.95343,              0.7816,              0.6678,             0.48264,              1.0001,           0.0076296,           0.0076296,           0.0076296
                  19,             0.92105,             0.70637,              1.0881,             0.90584,             0.91508,             0.96035,             0.79838,             0.65504,             0.43962,              1.0009,           0.0074901,           0.0074901,           0.0074901
                  20,              0.9079,             0.69255,              1.0809,             0.92556,             0.91854,             0.97089,             0.80852,             0.64868,               0.411,             0.99193,           0.0073507,           0.0073507,           0.0073507
                  21,             0.90536,             0.68907,              1.0824,             0.90124,               0.899,             0.95384,             0.79707,             0.64952,             0.45365,             0.98988,           0.0072113,           0.0072113,           0.0072113
                  22,             0.90212,             0.68089,               1.081,             0.92142,             0.90742,             0.96547,             0.80155,             0.64854,             0.42687,             0.99827,           0.0070718,           0.0070718,           0.0070718
                  23,             0.89038,             0.66598,              1.0677,             0.92483,             0.91912,             0.96883,             0.80232,             0.64845,             0.41966,             0.99152,           0.0069324,           0.0069324,           0.0069324
                  24,             0.89365,             0.66663,              1.0729,             0.91671,             0.91523,             0.96388,             0.81195,             0.62117,             0.41398,             0.97363,            0.006793,            0.006793,            0.006793
                  25,             0.88596,             0.65426,              1.0683,             0.93252,             0.91941,             0.96831,             0.81173,             0.62695,             0.39682,             0.99152,           0.0066535,           0.0066535,           0.0066535
                  26,             0.88065,             0.65471,              1.0645,             0.93377,             0.91467,             0.96713,             0.80628,             0.62699,             0.40666,             0.97423,           0.0065141,           0.0065141,           0.0065141
                  27,             0.88055,             0.64062,              1.0608,               0.924,             0.91975,             0.96297,              0.7981,              0.6518,             0.45326,             0.97989,           0.0063746,           0.0063746,           0.0063746
                  28,             0.86664,             0.63178,              1.0544,             0.90203,             0.91644,             0.95566,             0.79578,             0.63099,             0.43825,             0.97887,           0.0062352,           0.0062352,           0.0062352
                  29,             0.85937,             0.62466,              1.0505,             0.94048,             0.92348,             0.96572,             0.81751,             0.61397,             0.38307,             0.98292,           0.0060958,           0.0060958,           0.0060958
                  30,             0.86452,              0.6249,              1.0609,              0.9251,             0.92802,             0.97257,             0.81803,             0.62749,             0.39718,             0.97793,           0.0059563,           0.0059563,           0.0059563
                  31,             0.85873,             0.62493,              1.0545,             0.92445,             0.92614,              0.9721,             0.82822,             0.60522,             0.37757,             0.96221,           0.0058169,           0.0058169,           0.0058169
                  32,             0.84511,             0.60867,              1.0505,              0.9339,             0.92751,             0.97418,             0.82677,             0.61363,             0.38107,             0.97278,           0.0056775,           0.0056775,           0.0056775
                  33,             0.84004,             0.60402,              1.0467,             0.93278,             0.92233,              0.9689,             0.82651,             0.60221,              0.3786,             0.97337,            0.005538,            0.005538,            0.005538
                  34,             0.84164,             0.60266,              1.0459,             0.94557,             0.90827,              0.9707,             0.82128,             0.61424,              0.3924,             0.97538,           0.0053986,           0.0053986,           0.0053986
                  35,             0.83482,             0.59531,              1.0481,              0.9336,             0.92822,             0.97222,             0.83312,             0.59884,             0.37142,             0.96814,           0.0052592,           0.0052592,           0.0052592
                  36,             0.83246,              0.5894,              1.0388,              0.9477,             0.91942,             0.97297,             0.83228,             0.60422,             0.36484,             0.96405,           0.0051197,           0.0051197,           0.0051197
                  37,             0.83233,              0.5817,              1.0385,             0.93532,             0.93301,              0.9722,             0.82984,             0.59603,             0.36853,             0.97373,           0.0049803,           0.0049803,           0.0049803
                  38,             0.82872,             0.58785,              1.0503,             0.92907,             0.91949,             0.96691,             0.82275,             0.60585,             0.39167,             0.97806,           0.0048408,           0.0048408,           0.0048408
                  39,             0.82421,             0.57948,              1.0414,              0.9397,             0.91777,             0.97054,              0.8246,             0.61133,             0.37136,             0.97219,           0.0047014,           0.0047014,           0.0047014
                  40,             0.81692,              0.5651,              1.0348,             0.91222,             0.93003,              0.9675,             0.83418,             0.58766,                0.38,             0.95704,            0.004562,            0.004562,            0.004562
                  41,             0.81866,             0.56442,              1.0331,             0.93932,             0.92653,              0.9729,             0.83771,             0.58988,             0.37331,             0.96322,           0.0044225,           0.0044225,           0.0044225
                  42,             0.81012,             0.55958,              1.0278,             0.93419,             0.92881,             0.97028,             0.82867,             0.60843,             0.36442,             0.95961,           0.0042831,           0.0042831,           0.0042831
                  43,             0.80552,             0.55609,              1.0287,             0.92868,             0.91671,             0.96361,             0.82499,             0.59444,             0.39543,             0.96864,           0.0041437,           0.0041437,           0.0041437
                  44,             0.80594,             0.54606,              1.0306,             0.93455,             0.93175,             0.96868,             0.82892,              0.6024,             0.38089,             0.97244,           0.0040042,           0.0040042,           0.0040042
                  45,             0.80041,             0.55311,              1.0234,             0.94074,             0.92046,             0.97118,             0.83678,             0.59459,             0.36665,             0.96112,           0.0038648,           0.0038648,           0.0038648
                  46,             0.79917,             0.54145,              1.0258,             0.94282,             0.92527,             0.97076,             0.83251,              0.6008,             0.36293,             0.96391,           0.0037254,           0.0037254,           0.0037254
                  47,             0.79553,             0.54043,              1.0241,             0.95203,             0.90656,             0.97228,             0.83204,             0.60312,             0.37028,             0.96769,           0.0035859,           0.0035859,           0.0035859
                  48,               0.797,              0.5382,               1.026,             0.93933,             0.93022,             0.97234,             0.84175,             0.58833,             0.36174,             0.96282,           0.0034465,           0.0034465,           0.0034465
                  49,             0.77774,             0.52492,              1.0227,             0.94449,             0.92568,             0.97218,             0.84281,              0.5835,             0.35877,             0.96729,            0.003307,            0.003307,            0.003307
                  50,             0.78361,             0.52228,              1.0213,             0.93142,             0.93853,             0.97267,             0.84197,             0.58308,             0.35663,              0.9543,           0.0031676,           0.0031676,           0.0031676
                  51,             0.78676,             0.52651,              1.0184,             0.93764,             0.92153,             0.97264,             0.84144,             0.58454,             0.36368,             0.96463,           0.0030282,           0.0030282,           0.0030282
                  52,             0.77682,             0.52598,              1.0177,             0.93889,             0.92319,             0.96838,             0.83468,             0.59532,             0.37297,             0.97468,           0.0028887,           0.0028887,           0.0028887
                  53,             0.76777,             0.51059,              1.0158,             0.94102,             0.93412,             0.97415,             0.84251,             0.59214,             0.35405,             0.96562,           0.0027493,           0.0027493,           0.0027493
                  54,             0.77343,             0.50752,              1.0171,              0.9352,              0.9253,              0.9742,             0.84076,             0.59283,             0.35542,             0.96478,           0.0026099,           0.0026099,           0.0026099
                  55,             0.76179,             0.50078,               1.014,             0.94755,             0.93148,             0.97167,             0.84428,             0.58622,             0.35218,             0.96716,           0.0024704,           0.0024704,           0.0024704
                  56,             0.76788,             0.49943,              1.0136,             0.94803,             0.92964,             0.97277,             0.84454,             0.58583,             0.34568,             0.95958,            0.002331,            0.002331,            0.002331
                  57,             0.75859,             0.49807,              1.0156,              0.9425,             0.93283,             0.97504,             0.84769,              0.5839,             0.34498,             0.96203,           0.0021915,           0.0021915,           0.0021915
                  58,             0.75783,             0.49174,              1.0086,             0.94288,             0.92762,             0.97155,              0.8392,             0.59588,             0.34937,             0.96199,           0.0020521,           0.0020521,           0.0020521
                  59,             0.75133,             0.48285,              1.0049,             0.94623,             0.93294,             0.97277,             0.84573,               0.584,              0.3426,             0.95773,           0.0019127,           0.0019127,           0.0019127
                  60,             0.74977,             0.48026,              1.0011,             0.93959,             0.93199,             0.96919,             0.83856,             0.59792,             0.35852,             0.96124,           0.0017732,           0.0017732,           0.0017732
                  61,             0.74261,             0.47577,              1.0019,             0.94073,             0.92979,             0.97278,             0.84419,             0.59367,             0.35335,             0.95781,           0.0016338,           0.0016338,           0.0016338
                  62,             0.74835,             0.47929,              1.0008,             0.94284,             0.92061,              0.9716,             0.84372,             0.59018,             0.35919,             0.95709,           0.0014944,           0.0014944,           0.0014944
                  63,             0.74132,              0.4723,             0.99732,             0.94557,               0.926,             0.97021,             0.84197,             0.59236,             0.35745,             0.95879,           0.0013549,           0.0013549,           0.0013549
                  64,             0.73086,              0.4668,              0.9987,             0.93922,             0.93766,             0.97098,               0.846,             0.58202,             0.35399,             0.95888,           0.0012155,           0.0012155,           0.0012155
                  65,             0.73076,             0.46182,             0.99349,             0.93892,             0.93242,             0.97215,             0.84657,             0.58832,             0.34658,             0.95681,           0.0010761,           0.0010761,           0.0010761
                  66,             0.73282,              0.4628,             0.99632,             0.93627,              0.9282,             0.96905,             0.84362,             0.58733,             0.36322,             0.96235,          0.00093662,          0.00093662,          0.00093662
                  67,             0.73282,              0.4575,             0.99866,             0.94135,             0.92588,             0.97079,             0.84503,             0.58885,             0.35848,             0.96312,          0.00079718,          0.00079718,          0.00079718
                  68,             0.72344,             0.45131,             0.99134,             0.94756,             0.93162,             0.97114,             0.84705,             0.58688,             0.35036,             0.95946,          0.00065775,          0.00065775,          0.00065775
                  69,             0.72412,              0.4486,             0.99117,             0.94582,             0.92857,             0.97039,             0.84658,             0.58303,             0.35632,             0.95502,          0.00051831,          0.00051831,          0.00051831
                  70,             0.71844,             0.44906,             0.99443,             0.93441,              0.9423,             0.96852,             0.84271,             0.58999,             0.35311,             0.96113,          0.00037887,          0.00037887,          0.00037887
