filename,density_count,mean_iou
4_085380.txt,2,0.0
4_033750.txt,1,0.0
2_135270.txt,2,0.0
2_067470.txt,2,0.0
3_064558.txt,2,0.030328943617809856
5_095730.txt,1,0.0
2_094410.txt,1,0.0
4_010200.txt,2,0.0
4_045750.txt,1,0.0
3_025650.txt,1,0.0
5_058200.txt,2,0.0561537187344709
4_057390.txt,2,0.20059681697612727
4_037620.txt,1,0.0
3_039510.txt,2,0.0
3_098670.txt,1,0.0
3_097950.txt,5,0.025386588449479754
5_123810.txt,1,0.0
5_097770.txt,1,0.0
5_069540.txt,1,0.0
5_048090.txt,1,0.0
5_078240.txt,1,0.0
5_039090.txt,9,0.0550560647628042
5_085170.txt,1,0.0
3_021150.txt,1,0.0
3_101820.txt,4,0.0631657666334529
1_058560.txt,1,0.0
4_026010.txt,1,0.0
3_064621.txt,2,0.0
5_060060.txt,1,0.0
3_066090.txt,2,0.0
2_002370.txt,9,0.04357978298132249
1_038220.txt,3,0.05226874611516074
3_034410.txt,1,0.0
4_057870.txt,3,0.1339324713480489
3_038820.txt,1,0.0
2_118290.txt,1,0.0
2_076500.txt,4,0.016672346441088687
4_042330.txt,2,0.0
5_107370.txt,2,0.02721088435374152
2_066330.txt,1,0.0
3_029100.txt,1,0.0
2_106770.txt,1,0.0
2_088950.txt,1,0.0
3_078960.txt,1,0.0
2_139680.txt,1,0.0
3_046650.txt,1,0.0
3_048330.txt,5,0.055163478046551764
5_115980.txt,1,0.0
4_081060.txt,1,0.0
5_071610.txt,2,0.0
3_131850.txt,1,0.0
2_086760.txt,1,0.0
5_104700.txt,1,0.0
2_045690.txt,1,0.0
3_098010.txt,3,0.031677465802735776
4_083700.txt,3,0.04971267299126118
1_062850.txt,1,0.0
3_003960.txt,2,0.014632739854393343
5_034290.txt,1,0.0
2_124080.txt,1,0.0
5_097800.txt,1,0.0
2_137730.txt,1,0.0
2_064200.txt,1,0.0
1_073170.txt,1,0.0
3_033270.txt,2,0.0
2_104070.txt,1,0.0
3_063120.txt,2,0.10602031474780949
5_132930.txt,1,0.0
2_117900.txt,2,0.21351109342353997
5_020370.txt,2,0.0
5_010920.txt,1,0.0
3_007080.txt,6,0.023021152374727405
2_024150.txt,2,0.0
4_014760.txt,2,0.0
3_127080.txt,2,0.1552393272962487
3_022860.txt,4,0.0
4_011700.txt,1,0.0
4_077640.txt,1,0.0
4_086880.txt,1,0.0
4_086940.txt,1,0.0
2_041190.txt,1,0.0
3_073350.txt,1,0.0
5_029610.txt,2,0.11849601215343705
3_084210.txt,2,0.0836757001243828
3_073920.txt,7,0.023423436269099866
3_102360.txt,1,0.0
1_014643.txt,1,0.0
2_085230.txt,4,0.08752390989352458
2_123120.txt,9,0.02896844182348832
4_008820.txt,1,0.0
2_076350.txt,5,0.04316660908274285
2_056370.txt,1,0.0
1_071010.txt,1,0.0
2_109320.txt,1,0.0
5_071490.txt,2,0.029982086174926918
2_124920.txt,2,0.11423344884989363
3_074160.txt,8,0.03957511936911957
2_155880.txt,1,0.0
5_075120.txt,1,0.0
2_033690.txt,1,0.0
1_045000.txt,3,0.1342374983986615
4_057510.txt,1,0.0
5_111810.txt,1,0.0
1_085290.txt,1,0.0
5_097830.txt,1,0.0
1_014733.txt,1,0.0
4_011190.txt,1,0.0
3_112440.txt,1,0.0
3_057420.txt,1,0.0
5_032280.txt,1,0.0
4_017460.txt,1,0.0
4_025710.txt,4,0.08211635330961335
4_010140.txt,3,0.003351646453128767
3_036270.txt,1,0.0
4_084510.txt,3,0.14171472259147622
4_072210.txt,1,0.0
2_011370.txt,1,0.0
5_153510.txt,1,0.0
2_106860.txt,1,0.0
5_132750.txt,1,0.0
5_132990.txt,1,0.0
4_030030.txt,1,0.0
5_032310.txt,1,0.0
1_038820.txt,3,0.08947025479122804
1_040920.txt,1,0.0
4_028560.txt,1,0.0
2_113730.txt,4,0.05505020931555077
2_113160.txt,1,0.0
3_068940.txt,1,0.0
3_092130.txt,3,0.0
2_002580.txt,7,0.08884658210987985
3_054180.txt,1,0.0
5_108090.txt,1,0.0
2_122310.txt,1,0.0
3_107880.txt,1,0.0
5_060180.txt,2,0.0
3_018660.txt,1,0.0
4_009990.txt,5,0.03013820829741514
5_033030.txt,1,0.0
5_083310.txt,1,0.0
3_038940.txt,1,0.0
2_055950.txt,1,0.0
3_122880.txt,1,0.0
2_147450.txt,2,0.0
3_084900.txt,3,0.31119335416306604
5_102180.txt,1,0.0
2_065700.txt,1,0.0
3_052890.txt,1,0.0
3_069000.txt,1,0.0
5_034470.txt,1,0.0
4_090600.txt,3,0.08757123602381116
2_096480.txt,6,0.03707989015605507
2_013110.txt,5,0.0276780689041942
1_038280.txt,3,0.017627510475364826
2_028380.txt,6,0.0579067331555341
4_082110.txt,1,0.0
1_071190.txt,1,0.0
1_077640.txt,1,0.0
5_011490.txt,2,0.0
2_112110.txt,1,0.0
3_049020.txt,6,0.06349247673088589
4_017250.txt,1,0.0
2_032580.txt,1,0.0
3_054090.txt,1,0.0
5_172350.txt,3,0.0
2_002130.txt,9,0.040676889638772536
1_073770.txt,1,0.0
3_081660.txt,6,0.07315518454886108
5_010620.txt,1,0.0
3_048990.txt,6,0.05499529419912425
3_068790.txt,1,0.0
3_111540.txt,1,0.0
2_121740.txt,1,0.0
5_124470.txt,1,0.0
4_002670.txt,4,0.10719203694885641
4_019590.txt,1,0.0
2_014670.txt,1,0.0
4_056130.txt,1,0.0
2_096360.txt,3,0.03582460381412838
4_060480.txt,7,0.02788893463343551
3_017430.txt,6,0.05104157447473158
1_077460.txt,1,0.0
2_024390.txt,2,0.14914342703487615
1_072990.txt,1,0.0
5_109320.txt,5,0.04806374531362397
5_109680.txt,4,0.029957260659697404
5_085950.txt,1,0.0
3_044580.txt,1,0.0
2_136740.txt,2,0.06673025422796137
5_073740.txt,3,0.011119141602268312
2_151020.txt,1,0.0
3_073290.txt,1,0.0
5_118560.txt,1,0.0
3_092790.txt,4,0.015930387940632368
5_118290.txt,4,0.08583391804258357
5_073260.txt,1,0.0
3_101010.txt,2,0.0
5_121950.txt,1,0.0
4_079110.txt,1,0.0
2_066120.txt,1,0.0
3_126120.txt,1,0.0
2_104730.txt,5,0.025553961015454357
4_012000.txt,1,0.0
4_077520.txt,1,0.0
3_046620.txt,1,0.0
3_101700.txt,5,0.03072307298605475
5_025990.txt,1,0.0
2_106230.txt,1,0.0
4_026940.txt,1,0.0
4_035610.txt,7,0.027332453074460167
2_028560.txt,5,0.03307667391730228
2_096900.txt,2,0.14906398435317098
2_060750.txt,6,0.04027066006288951
