               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1441,              1.5011,              1.2105,               0.778,             0.90035,             0.90566,             0.75754,             0.64936,             0.61212,             0.96289,            0.070441,           0.0032843,           0.0032843
                   1,             0.95721,             0.80726,              1.0733,             0.77553,             0.79352,             0.90683,             0.64403,             0.96407,              1.2734,              1.1387,             0.04031,           0.0064866,           0.0064866
                   2,               1.022,             0.81903,              1.1174,             0.83738,             0.80488,             0.87453,             0.62658,             0.95952,               1.977,              1.1883,            0.010047,           0.0095569,           0.0095569
                   3,               1.098,             0.90051,              1.1593,             0.74257,             0.74393,             0.79922,             0.58511,             0.96501,              2.3516,              1.2857,            0.009406,            0.009406,            0.009406
                   4,              1.0788,             0.84688,                1.15,             0.73515,             0.71218,             0.75076,             0.46024,              1.2418,               2.812,              1.4316,            0.009406,            0.009406,            0.009406
                   5,              1.0582,             0.82011,               1.145,             0.88366,             0.75091,             0.89484,              0.6956,               0.844,              1.0967,              1.1179,            0.009208,            0.009208,            0.009208
                   6,              1.0452,             0.81068,              1.1464,              0.8573,             0.67826,             0.82099,              0.6372,             0.81822,              1.6204,              1.0819,             0.00901,             0.00901,             0.00901
                   7,              1.0227,             0.76773,              1.1379,             0.83357,             0.83849,             0.90791,             0.72327,             0.76144,              0.6638,              1.0404,            0.008812,            0.008812,            0.008812
                   8,              1.0064,             0.75291,              1.1251,             0.91271,               0.858,             0.93804,             0.75131,             0.75239,             0.92086,              1.0518,            0.008614,            0.008614,            0.008614
                   9,             0.99664,             0.73505,              1.1176,             0.91635,             0.83815,             0.93099,             0.75586,             0.73413,              0.5823,              1.0349,            0.008416,            0.008416,            0.008416
                  10,             0.97345,             0.70529,              1.1133,             0.87238,             0.83768,             0.91011,             0.70607,              0.7991,             0.81519,              1.0772,            0.008218,            0.008218,            0.008218
                  11,             0.95936,             0.70187,               1.103,             0.90771,             0.91316,             0.95874,             0.77818,              0.7281,             0.51341,              1.0288,             0.00802,             0.00802,             0.00802
                  12,             0.95004,             0.68434,              1.1001,             0.90832,             0.88647,             0.94784,             0.77203,             0.71884,             0.56146,              1.0169,            0.007822,            0.007822,            0.007822
                  13,              0.9402,             0.67448,              1.0952,             0.86387,             0.92224,             0.94082,             0.77168,             0.72054,             0.52215,              1.0305,            0.007624,            0.007624,            0.007624
                  14,             0.92726,             0.65711,              1.0895,             0.88047,             0.91245,             0.95408,             0.79405,             0.68133,             0.49236,              1.0035,            0.007426,            0.007426,            0.007426
                  15,             0.91378,             0.63469,              1.0783,             0.88906,             0.87313,              0.9382,             0.78466,             0.67459,             0.51696,              1.0066,            0.007228,            0.007228,            0.007228
                  16,             0.90779,             0.62599,               1.068,             0.90393,             0.93895,             0.96952,             0.80258,             0.70452,             0.42367,              1.0122,             0.00703,             0.00703,             0.00703
                  17,             0.90691,             0.62471,              1.0796,             0.90241,             0.88661,             0.95502,             0.77543,             0.72904,             0.49385,              1.0158,            0.006832,            0.006832,            0.006832
                  18,             0.88553,             0.60659,              1.0613,             0.90306,               0.924,              0.9626,             0.80534,              0.6521,             0.43771,             0.99005,            0.006634,            0.006634,            0.006634
                  19,             0.88171,             0.60506,              1.0623,             0.94119,             0.91774,             0.96732,             0.81616,             0.64484,             0.43833,             0.98583,            0.006436,            0.006436,            0.006436
                  20,             0.87778,             0.59384,              1.0648,             0.94962,             0.91668,             0.97759,             0.83118,             0.63661,             0.38105,             0.97979,            0.006238,            0.006238,            0.006238
                  21,             0.87231,              0.5891,              1.0594,             0.93912,             0.92198,              0.9707,               0.819,             0.64006,             0.41974,             0.97349,             0.00604,             0.00604,             0.00604
                  22,             0.87472,             0.58037,              1.0507,             0.93987,             0.91649,             0.97181,             0.83193,             0.63613,             0.39379,             0.96918,            0.005842,            0.005842,            0.005842
                  23,             0.86157,             0.56905,              1.0549,             0.92657,             0.93124,             0.96804,             0.81512,             0.64419,             0.40775,             0.98317,            0.005644,            0.005644,            0.005644
                  24,             0.84701,             0.55813,              1.0467,             0.93704,             0.92891,             0.97452,             0.82287,             0.64637,             0.38743,             0.97185,            0.005446,            0.005446,            0.005446
                  25,              0.8432,             0.55507,              1.0431,             0.92988,              0.9334,             0.96695,             0.82982,             0.63126,             0.38534,             0.97526,            0.005248,            0.005248,            0.005248
                  26,             0.83891,             0.54584,              1.0478,             0.94866,              0.9347,             0.97377,             0.83881,             0.61578,             0.37491,             0.95519,             0.00505,             0.00505,             0.00505
                  27,             0.83444,             0.54033,               1.037,             0.93927,             0.92551,             0.97661,             0.83343,             0.64425,             0.36671,             0.97765,            0.004852,            0.004852,            0.004852
                  28,             0.82554,             0.54153,              1.0411,             0.93222,             0.93374,             0.97037,             0.81379,             0.66319,             0.40423,              0.9884,            0.004654,            0.004654,            0.004654
                  29,              0.8376,             0.53343,               1.039,             0.94133,             0.93627,             0.97778,             0.83756,             0.62591,             0.35583,             0.96435,            0.004456,            0.004456,            0.004456
                  30,             0.81736,             0.51378,              1.0312,             0.94818,             0.92848,             0.97669,             0.84104,             0.62454,              0.3591,             0.97886,            0.004258,            0.004258,            0.004258
                  31,             0.81177,              0.5124,              1.0226,             0.94191,             0.91841,             0.97403,             0.83329,             0.63308,             0.37052,             0.96533,             0.00406,             0.00406,             0.00406
                  32,             0.80477,             0.50768,              1.0257,             0.95428,             0.91961,             0.97705,             0.83683,             0.62325,             0.36154,             0.97352,            0.003862,            0.003862,            0.003862
                  33,             0.80397,             0.50158,              1.0286,             0.93332,             0.93428,             0.97534,             0.84323,             0.61526,             0.36231,             0.97672,            0.003664,            0.003664,            0.003664
                  34,             0.80014,             0.49852,              1.0178,             0.93273,             0.93237,             0.97103,             0.83671,             0.61792,             0.37435,             0.96401,            0.003466,            0.003466,            0.003466
                  35,             0.79009,             0.48183,              1.0187,             0.95081,             0.93534,             0.98087,             0.84152,             0.62969,             0.33698,             0.97236,            0.003268,            0.003268,            0.003268
