Seed,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
0,all,536,1044,0.958,0.947,0.98,0.864
0,D,536,383,0.958,0.943,0.975,0.847
1,all,536,1044,0.959,0.945,0.978,0.861
1,D,536,383,0.967,0.927,0.978,0.847
2,all,536,1044,0.962,0.948,0.982,0.864
2,D,536,383,0.962,0.937,0.979,0.845
3,all,536,1044,0.97,0.943,0.981,0.864
3,D,536,383,0.973,0.935,0.978,0.848
4,all,536,1044,0.957,0.94,0.979,0.858
4,D,536,383,0.956,0.927,0.977,0.844
