               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1369,              1.4877,              1.2123,             0.85247,             0.85737,             0.92041,             0.74071,               0.718,              0.5516,             0.98738,            0.070441,           0.0032843,           0.0032843
                   1,             0.95943,             0.80496,              1.0813,             0.78954,             0.78471,             0.86662,              0.6602,             0.85923,             0.81205,               1.103,             0.04031,           0.0064866,           0.0064866
                   2,              1.0239,             0.83487,              1.1171,             0.72828,             0.67253,             0.72259,             0.54761,              0.8834,              2.9374,              1.1382,            0.010047,           0.0095569,           0.0095569
                   3,              1.1045,             0.89799,              1.1678,             0.75774,             0.62633,             0.71919,             0.47232,               1.161,              4.2152,              1.4179,            0.009406,            0.009406,            0.009406
                   4,              1.0769,             0.85154,              1.1553,             0.77862,             0.67383,             0.75513,             0.52403,              1.0638,              1.6038,              1.2934,            0.009406,            0.009406,            0.009406
                   5,              1.0563,             0.81848,              1.1464,             0.82327,             0.76195,             0.84502,             0.64988,             0.84529,             0.96705,              1.1252,            0.009208,            0.009208,            0.009208
                   6,              1.0451,             0.80359,              1.1492,             0.88177,             0.83269,             0.93432,             0.74022,              0.7814,             0.78089,              1.0742,             0.00901,             0.00901,             0.00901
                   7,              1.0165,             0.76397,              1.1434,             0.83709,             0.79864,              0.8721,             0.68292,             0.76732,             0.79707,              1.0744,            0.008812,            0.008812,            0.008812
                   8,              1.0079,             0.74562,              1.1291,             0.87982,             0.80088,             0.86663,             0.68334,             0.81331,              1.2292,               1.086,            0.008614,            0.008614,            0.008614
                   9,             0.99252,             0.73982,              1.1252,             0.90222,             0.87619,             0.94471,             0.75628,             0.74946,             0.62509,              1.0537,            0.008416,            0.008416,            0.008416
                  10,              0.9763,             0.69923,              1.1135,             0.90164,             0.90068,             0.95884,             0.78303,             0.70165,              0.4864,              1.0213,            0.008218,            0.008218,            0.008218
                  11,             0.95695,             0.69252,              1.1022,             0.92748,             0.88447,              0.9419,             0.77219,             0.70454,             0.84103,              1.0114,             0.00802,             0.00802,             0.00802
                  12,             0.95022,             0.68571,              1.0984,             0.89697,             0.88118,             0.95243,             0.77227,             0.72619,             0.53527,              1.0341,            0.007822,            0.007822,            0.007822
                  13,             0.93748,              0.6666,              1.0963,             0.87462,             0.90485,               0.953,             0.77998,             0.72322,             0.49754,              1.0147,            0.007624,            0.007624,            0.007624
                  14,             0.92581,             0.64928,               1.086,             0.91638,             0.89981,             0.95752,             0.78867,             0.68729,             0.47973,              1.0055,            0.007426,            0.007426,            0.007426
                  15,              0.9168,             0.63503,              1.0837,              0.9001,              0.9236,             0.96398,             0.80001,             0.69784,             0.44777,              1.0298,            0.007228,            0.007228,            0.007228
                  16,             0.90756,             0.62736,              1.0714,             0.94734,             0.91422,             0.97056,             0.81599,             0.66327,             0.39941,              0.9857,             0.00703,             0.00703,             0.00703
                  17,             0.90149,             0.62288,              1.0765,             0.91897,             0.90459,             0.96492,             0.79298,             0.71483,             0.45216,              1.0381,            0.006832,            0.006832,            0.006832
