video_file,start_frame,end_frame,start_time,end_time,duration_sec
4_2020-11-28_14-21-05.mp4,8998,9083,14:26:04.91,14:26:07.74,2.833
4_2020-11-28_14-21-05.mp4,9083,9130,14:26:07.74,14:26:09.31,1.567
4_2020-11-28_14-21-05.mp4,24826,24939,Invalid Time,Invalid Time,3.766
4_2020-11-28_14-21-05.mp4,24939,24996,Invalid Time,Invalid Time,1.9
4_2020-11-28_14-21-05.mp4,25610,25840,Invalid Time,Invalid Time,7.666
4_2020-11-28_14-21-05.mp4,25840,25909,Invalid Time,Invalid Time,2.3
4_2020-11-28_14-21-05.mp4,25893,25969,Invalid Time,Invalid Time,2.533
4_2020-11-28_14-21-05.mp4,25717,25933,Invalid Time,Invalid Time,7.2
4_2020-11-28_14-21-05.mp4,25933,26009,Invalid Time,Invalid Time,2.533
4_2020-11-28_14-21-05.mp4,34901,35139,Invalid Time,Invalid Time,7.933
4_2020-11-28_14-21-05.mp4,35139,35267,Invalid Time,Invalid Time,4.266
4_2020-11-28_14-21-05.mp4,43224,43576,Invalid Time,Invalid Time,11.733
4_2020-11-28_14-21-05.mp4,43576,43767,Invalid Time,Invalid Time,6.366
4_2020-11-28_14-21-05.mp4,43371,43675,Invalid Time,Invalid Time,10.133
4_2020-11-28_14-21-05.mp4,43675,43800,Invalid Time,Invalid Time,4.166
4_2020-11-28_14-21-05.mp4,43395,43735,Invalid Time,Invalid Time,11.333
4_2020-11-28_14-21-05.mp4,43735,43822,Invalid Time,Invalid Time,2.9
4_2020-11-28_14-21-05.mp4,43753,43836,Invalid Time,Invalid Time,2.767
4_2020-11-28_14-21-05.mp4,44063,44324,Invalid Time,Invalid Time,8.7
4_2020-11-28_14-21-05.mp4,44324,44389,Invalid Time,Invalid Time,2.167
4_2020-11-28_14-21-05.mp4,59905,59998,Invalid Time,Invalid Time,3.1
4_2020-11-28_14-21-05.mp4,59998,60052,Invalid Time,Invalid Time,1.8
4_2020-11-28_14-21-05.mp4,60281,60545,Invalid Time,Invalid Time,8.8
4_2020-11-28_14-21-05.mp4,60545,60683,Invalid Time,Invalid Time,4.6
4_2020-11-28_14-21-05.mp4,60597,60675,Invalid Time,Invalid Time,2.6
4_2020-11-28_14-21-05.mp4,60615,60701,Invalid Time,Invalid Time,2.867
4_2020-11-28_14-21-05.mp4,60657,60798,Invalid Time,Invalid Time,4.7
4_2020-11-28_14-21-05.mp4,75019,75200,Invalid Time,Invalid Time,6.033
4_2020-11-28_14-21-05.mp4,75200,75259,Invalid Time,Invalid Time,1.967
4_2020-11-28_14-21-05.mp4,91078,91278,Invalid Time,Invalid Time,6.666
4_2020-11-28_14-21-05.mp4,91278,91350,Invalid Time,Invalid Time,2.4
4_2020-11-28_14-21-05.mp4,91674,91901,Invalid Time,Invalid Time,7.566
